"sex","habitat","age_years","body_size_mm","body_temp_C","speed_m_s"
"Female","Open",5.23806115868501,111.115685434911,28.1470175305923,16.839015828397
"Female","Open",1.00331610674039,101.215504251648,18.3012672832457,14.8153483799671
"Male","Open",2.499915975146,88.9653140397244,21.1953470000152,14.7154886512285
"Male","Open",4.4694344655145,113.768243558862,23.8850649111042,16.8499018201927
"Male","Open",5.81884572422132,101.776984707119,35.029895963534,16.117912845725
"Male","Forest",1.64882316277362,78.740718177147,28.1703177231645,17.4580271402542
"Female","Forest",1.37879054318182,106.734823587066,32.0813138816154,17.1764450247405
"Female","Forest",3.83773089991882,110.719612099935,28.8442205487736,16.935688898684
"Female","Forest",3.77575465501286,106.159827720938,41.8991806017688,15.1767775898098
"Male","Forest",1.30803769943304,88.1253298309179,26.9836575556081,19.8520214848969
"Female","Open",4.37086156243458,106.30833355559,36.8427879015985,14.881410166264
"Female","Open",5.57008694531396,112.442143946388,29.9683985096621,16.2020050722872
"Male","Forest",5.43886935943738,103.853522282807,29.9433837813428,17.4616903411276
"Female","Open",2.62401522276923,110.477295721473,25.6188439053377,15.4101895630003
"Female","Open",1.46335826977156,95.0528782182678,29.7942203282403,18.1436525572169
"Female","Forest",5.15557811968029,113.177940325995,29.2863394461794,19.0142830305697
"Male","Forest",1.63610350713134,89.1104582171489,19.0434461207756,14.8009785608065
"Male","Open",5.34347277274355,96.4594732007985,33.878518503559,14.0168984037639
"Male","Open",5.76548238657415,108.594361909868,21.9752360172105,16.2810354507262
"Male","Forest",3.49571527005173,89.9409566172985,27.713127696059,15.9602292564245
"Female","Open",4.27369398553856,102.382070451569,36.0915261770563,15.6591990975412
"Female","Forest",1.9689638344571,100.020592951995,37.1223588431339,16.0905250418699
"Female","Open",4.81427918095142,102.364797531066,29.9790002705505,16.236034571952
"Male","Open",3.73708274820819,87.1307011886415,23.4845402564177,16.8714191041206
"Female","Forest",2.06916033430025,100.487250392961,20.1717535858121,14.8448590994567
"Female","Open",4.45883468398824,104.682775774962,51.0059290331972,10.4151281147916
"Male","Open",5.86406704760157,106.496503391397,25.8099721074327,16.9444135271747
"Female","Open",3.7807254565414,93.9195901405321,26.3893864993108,16.2858297571158
"Male","Open",3.64039134955965,104.684599184341,37.3479276885979,16.6724913060224
"Male","Forest",2.08297003316693,97.3453681086668,36.3367393036616,16.0165122901364
"Female","Forest",4.40282628312707,104.500209859329,28.5060124239428,13.4182886724633
